rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
3 Wise Monkeys,Senopati,4.2,"(2,088 Ulasan)","Jl. Senopati No. 46, Senopati, Jakarta","Jepang, Sushi",Harga untuk 2:Rp450.000,Jam:                                      11h - 1h (Sen-Min)
Kintaro Sushi,Senopati,4.7,"(3,279 Ulasan)","Jl. Suryo No. 20, Senopati, Jakarta","Sushi, Jepang",Harga untuk 2:Rp400.000,Jam:                                      11h - 22h (Sen-Min)
Okinawa Sushi,Senopati,4.5,"(1,312 Ulasan)","Jl. Suryo No. 28, Senopati, Jakarta","Sushi, Jepang",Harga untuk 2:Rp400.000,"Jam:                                      11h - 22h (Sen, Sel, Rab, Kam, Min), 11h - 23h..."
Sushi Go!,"Central Park, Tanjung Duren",4.4,(412 Ulasan),"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta","Sushi, Jepang",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
OKU - Hotel Indonesia Kempinski,"Hotel Indonesia Kempinski, Thamrin",4.9,(931 Ulasan),"Hotel Indonesia Kempinski, Jl. M. H. Thamrin, Thamrin, Jakarta","Jepang, Sushi",Harga untuk 2:Rp900.000,"Jam:                                      12h - 14h 30m, 18h - 21h (Sen-Min)"
Sushi Go!,"Summarecon Mall Bekasi, Bekasi Utara",4.4,(590 Ulasan),"Summarecon Mall Bekasi, Lantai 2, Jl. Ahmad Yani, Bekasi Utara, Bekasi","Sushi, Jepang",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Hokkaido Izakaya,"Pavilion Retail Arcade, Sudirman",4.7,"(1,132 Ulasan)","Pavilion Retail Arcade, Lantai Dasar, Jl. K.H. Mas Mansyur Kav. 24, Sudirman, Jakarta","Jepang, Sushi",Harga untuk 2:Rp350.000,Jam:                                      9h 30m - 19h (Sen-Min)
Sushi Mentai,Serpong Utara,3.7,(49 Ulasan),"Bez Plaza, Jl. Gading Serpong Boulevard, Serpong Utara, Tangerang","Sushi, Jepang",Harga untuk 2:Rp200.000,"Jam:                                      11h - 21h (Sen-Kam),11h - 22h (Jum-Min)"
Kappa Sushi,"Central Park, Tanjung Duren",3.6,(23 Ulasan),"Central Park, Lantai Dasar, Unit L-103A, Jl. Letjen S. Parman No.28, Tanjung Duren, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Masa,Pluit,4.9,"(1,533 Ulasan)","Jl. Tuna Raya No. 5, Pluit, Jakarta","Sushi, Jepang",Harga untuk 2:Rp500.000,"Jam:                                      Tutup (Sen),11h 30m - 14h, 18h - 22h (Sel-Jum),11h -..."
